,X,п..id,time,created_at,from_user_name,text,filter_level,possibly_sensitive,withheld_copyright,withheld_scope,truncated,retweet_count,favorite_count,lang,to_user_name,in_reply_to_status_id,quoted_status_id,source,location,lat,lng,from_user_id,from_user_realname,from_user_verified,from_user_description,from_user_url,from_user_profile_image_url,from_user_utcoffset,from_user_timezone,from_user_lang,from_user_tweetcount,from_user_followercount,from_user_friendcount,from_user_favourites_count,from_user_listed,from_user_withheld_scope,from_user_created_at
8776,8776,1235538012701773824,1583410192,2020-03-05 12:09:52,QuintDaily,Coronavirus Live News: Delhi primary schools to remain shut amid outbreak. Almost 300 million students worldwide faced weeks at home Authorities closed schools in more than a dozen countries. #coronovirusindia #coronovirus #NewDelhi,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",United States,NA,NA,870898939616047104,QuintDaily,0,Catch your Local and International Hot Updates with just following @quintdaily,http://quintdaily.com,http://pbs.twimg.com/profile_images/870900050397757440/EqJyAVLy_normal.jpg,NA,NA,NA,5088,184,15,1255,0,NA,2017-06-03 07:04:22
20011,20011,1246771194256211968,1586088391,2020-04-05 12:06:31,gilmarpa,RT @Juana66359443: Rezar por mi hija pequeГ±a que estГЎ ingresada por #coronavirus por favor,low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,123853267,ExtraГ±oMundo,0,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,NA,NA,NA,71863,369,1779,40610,0,NA,2010-03-17 12:15:46
25913,25913,1246772324415791104,1586088660,2020-04-05 12:11:00,HerveGOTZila,"RT @NellyTerrier: #Coronavirus : ""A la source des #Г©pidГ©mies, la destruction des eco-sytГЁmes"". Une enquГЄte de @GaelLombart auprГЁs desвЂ¦ https://t.co/9mbMHOqZy3",low,NA,NA,NA,NA,0,0,fr,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Breizh around the world,NA,NA,418818463,HervГ©GOTZila,0,Il vaut mieux mobiliser son intelligence sur des conneries que mobiliser sa connerie sur des choses intelligentes,http://www.bretagne.com/,http://pbs.twimg.com/profile_images/799926322554347520/pfb26NgD_normal.jpg,NA,NA,NA,67666,349,739,56,94,NA,2011-11-22 16:21:48
53976,53976,1290982589633826816,1596629209,2020-08-05 12:06:49,TBurghboy,@GitGrumpygit She's a bam and a lier  Coronavirus not covid19 It's the flu and I tell you   We're accepting no lockdown again !  Sing to lady n the tramp theme рџ¤”рџ�‚рџ�‚рџ™€рџ™‰рџ™Љрџ¤”рџ�‚,low,NA,NA,NA,NA,0,0,en,GitGrumpygit,1290969971217104896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",underground рџљ‡,NA,NA,1155622926839898112,Th3-J0k3r-Burghboy,0,"80's Burghboy 1RS  Sarc-autistic , gamer , tech invader & tune aproporator рџ�њ Honest ti a fault No ma fault U no liek IT рџ�‹",,http://pbs.twimg.com/profile_images/1163755682992197632/hF_UHwe__normal.jpg,NA,NA,NA,13316,120,246,9058,1,NA,2019-07-28 23:35:50
27182,27182,1246772564434849792,1586088717,2020-04-05 12:11:57,ItsJustTemi,"RT @Chef_Kachi: Coronavirus: If e sure for all of Una, come outside!!!!  Just thank God say Una do the party inside house, if not eвЂ¦ https://t.co/7dlyT3bmBi",low,NA,NA,NA,NA,0,0,en,,NA,1246724093644333056,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ГњT: 8.9527934,7.0709448",NA,NA,229923704,ADE,0,"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.",,http://pbs.twimg.com/profile_images/1246114258229878785/m59HiVDW_normal.jpg,NA,NA,NA,10499,716,638,5745,3,NA,2010-12-23 18:31:19
39526,39526,1257644218484473856,1588680722,2020-05-05 12:12:02,matrixofjustice,RT @Educati0n4Libs: The CDC has *corrected* their Coronavirus death total by cutting the number in HALF.  Imagine a virus so deadly thaвЂ¦ https://t.co/Snx6JhP6DR,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,NA,NA,329161699,Optimus T,0,"Prayer warrior, Minister of Reconciliation, Co-founder of 501 (c) 3 in service to Veterans. Follows & RTs not necessarily agreement.",,http://pbs.twimg.com/profile_images/1124123481283624960/Ws8t0eQ1_normal.jpg,NA,NA,NA,683,73,199,999,1,NA,2011-07-04 16:49:20
44918,44918,1268877188582920192,1591358871,2020-06-05 12:07:51,southasiansnews,Coronavirus shutdown: rivers of the north see a drop in pollution levels - https://t.co/uVqQuPTll7 https://t.co/lfnhGsWNIi,low,0,NA,NA,NA,0,0,en,,NA,NA,"<a href=""https://southasiansnews.com/"" rel=""nofollow"">South Asian News</a>","New York, USA",NA,NA,1012372221355069440,South Asians News,0,News of South Asia and South Asians,https://southasiansnews.com/,http://pbs.twimg.com/profile_images/1012374653208350720/a19WldIY_normal.jpg,NA,NA,NA,102104,340,19,9,3,NA,2018-06-28 16:28:41
52574,52574,1279750250924834816,1593951211,2020-07-05 12:13:31,RLFARROW777,RT @KamVTV: My parents friends went to get tested for coronavirus. They waited in line for two hours and then decided to leaveвЂ¦ https://t.co/jPtbbaVW8L,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,50927030,RLFARROW,0,"Husband, Father, Veteran, рџљ« DM's, #GOARMY, #MAGA, #KAG2020",,http://pbs.twimg.com/profile_images/1263244027270397952/6Suq6VBp_normal.jpg,NA,NA,NA,219657,11230,11283,102877,49,NA,2009-06-26 04:49:38
26986,26986,1246772527592022016,1586088709,2020-04-05 12:11:49,WarmongerExpose,RT @AlbertoThomas: @stenun @NiskalaSekala Perhaps you should ask yourself what is the CoronaVirus?  According to PubMed no country inвЂ¦ https://t.co/3Ank6PWo0I,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pennsylvania, USA",NA,NA,2775514122,вќЊDeborah Eisele,0,"#ProPalestinian, #AntiZionist, #Rohingya #PapauianRights, #Syria, #AntiIslamiphobia,Progressive Independent #Wikileaks, #Anonymous, #ChelseaManniing",,http://pbs.twimg.com/profile_images/871921300964429825/KC4uQ1ii_normal.jpg,NA,NA,NA,187169,3314,4526,160073,335,NA,2014-08-28 02:39:07
1553,1553,1235537005364183040,1583409951,2020-03-05 12:05:51,RUPRAMPARIHAAR1,RT @INCIndia: The impact of the Coronavirus outbreak in India has started showing on the economy as investors are pulling out ofвЂ¦ https://t.co/DgGgvqHZFk,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hanumangarh Manuka,NA,NA,1178567554396065792,Rupram parihaar Manuka,0,9352645643,,http://pbs.twimg.com/profile_images/1180393934284939264/2-hFao3h_normal.jpg,NA,NA,NA,87277,756,421,102442,0,NA,2019-09-30 07:09:51
30758,30758,1246773256134197248,1586088882,2020-04-05 12:14:42,AndresM71286910,RT @milagrostolon: рџ“ЅпёЏSon nuestra vanguardia en la lucha contra el coronavirus y estos son sus rostros. VГ­a @tribunadetoledo    https://t.co/Q026S2zAYL,low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,NA,NA,1188915022086463488,Andres Martinez Medina,0,"No entiendo la divisiГіn entre vida personal y profesional. Es un privilegio servir a los demГЎs, y mГЎs aГєn si son personas en situaciГіn de vulnerabilidad.",,http://pbs.twimg.com/profile_images/1188915711353196544/B0PME8S4_normal.jpg,NA,NA,NA,86,41,80,109,0,NA,2019-10-28 20:26:56
27225,27225,1246772572009742336,1586088719,2020-04-05 12:11:59,LauraPatri,"RT @Budijoly: La primera dama, Fabiola YГЎГ±ez, organiza un programa para recolectar fondos para usar contra la pandemia del coronaвЂ¦ https://t.co/whvUbLWDKE",low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Everywhere,NA,NA,49864394,рџЊЋрџЊЏрџЊЌ,0,,,http://pbs.twimg.com/profile_images/1167624639515938816/r09z_Vvi_normal.jpg,NA,NA,NA,386436,4729,5197,53841,183,NA,2009-06-23 03:00:47
32057,32057,1257642625458475008,1588680342,2020-05-05 12:05:42,FredmFrancois,"La crise vue dвЂ™#Europe: une frite, deux foisвЂ¦ https://t.co/0abEyrRwe1 via @lp_lapresse #Frites #fritesBelge #Canada #Coronavirus #Covid19",low,0,NA,NA,NA,0,0,fr,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Brussels / Huldenberg / Sicilia,NA,NA,1972018902,Frederik FranГ§ois,0,Media/Comms @RenewEuropeCoR. Ex-@usembbrussels @ukinbelgium @Nieuwsblad_be @LehighU. вќ¤@lfc. #DigitalDiplomacy #EU #Belgium #US. EN/FR/NL/ES/IT. RTв‰ endorse,,http://pbs.twimg.com/profile_images/925329228358475776/cjgd5Agj_normal.jpg,NA,NA,NA,5203,787,1196,84,122,NA,2013-10-19 16:05:24
42464,42464,1257644845667160064,1588680871,2020-05-05 12:14:31,Because__I_Can,RT @bbcworldservice: France finds a coronavirus case from December 27th - before the world even became aware of the illness. The doctorвЂ¦ https://t.co/VtkfJB61zW,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,173056654,K,0,I don't nibble - I biteрџЊ±  Artist & Studio Ownerрџ‡Ёрџ‡¦ #WeTheNorth  https://twitter.com/search?q=from%3ABecause__I_Can%20-filter%3Areplies,,http://pbs.twimg.com/profile_images/1245897189479645186/KfKrPq8l_normal.jpg,NA,NA,NA,70250,1811,824,60078,52,NA,2010-07-31 08:53:11
6553,6553,1235537705968103424,1583410118,2020-03-05 12:08:38,DaveRTaylor7,"RT @haveigotnews: Coronavirus: As Boris Johnson reveals plans to significantly restrict the use of public transport, experts suggestвЂ¦ https://t.co/Cgw8wh8GgR",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gloucestershire, UK.",NA,NA,707290364479197184,David Taylor,0,"Why do I bother? Cos they say I shouldn't! Despise news media as an extremely biased right wing mouthpiece! Please Sir, can we have our Country back please?",,http://pbs.twimg.com/profile_images/735821960081444864/cI6dPGP__normal.jpg,NA,NA,NA,1368,52,148,1208,1,NA,2016-03-08 19:42:18
45366,45366,1268877372289429504,1591358914,2020-06-05 12:08:34,masbury1603,RT @catturd2: Think of the thousands of citizens who couldn't attend their loved-ones funerals because of the coronavirus BS  - wвЂ¦ https://t.co/RWw5Rd80qA,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Currently?,NA,NA,2388931475,patient jedi,0,"Ret. Deputy, Former IC, now in Renewable Energy. Trying to be a better man than I was yesterday. Think for yourself. Responsible dog owner рџђ•. Married. No DMвЂ™s",,http://pbs.twimg.com/profile_images/1234253203459497985/RAlbSpdc_normal.jpg,NA,NA,NA,8338,239,451,19246,1,NA,2014-03-06 18:12:07
29659,29659,1246773038621868032,1586088830,2020-04-05 12:13:50,edutrian77,RT @infopresidencia: El @MinSaludCol reitera que no hay evidencias cientГ­ficas para asegurar que el coronavirus afecte a los animales coвЂ¦ https://t.co/pwUTm0mi4a,low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,2476804751,Eduardo Triana,0,,,http://pbs.twimg.com/profile_images/454961053928259584/X_MH0dvT_normal.jpeg,NA,NA,NA,92,2,44,338,0,NA,2014-04-11 18:17:43
15572,15572,1235538963877814272,1583410418,2020-03-05 12:13:38,704Eric,"RT @ClayTravis: Soccer coach is asked about coronavirus, gives fantastic response. https://t.co/nIgS8OmZcm",low,0,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FLNC,NA,NA,3471869902,Flynn Trump 2024,0,"MAGA. Dad. Proud of my kids, America and Trump. Hardworking. Smartass.",,http://pbs.twimg.com/profile_images/1170460254699708423/q7jFlmi5_normal.jpg,NA,NA,NA,83242,4177,4249,101534,0,NA,2015-08-28 17:39:06
53308,53308,1290982176939364352,1596629110,2020-08-05 12:05:10,khabarchhe,WHOаЄЏ аЄ† аЄ¦а«‡аЄ¶аЄЁа«Ђ аЄµа«‡аЄ•а«ЌаЄёа«ЂаЄЁ аЄЄаЄ° аЄља«‡аЄ¤аЄµаЄЈа«Ђ аЄ†аЄЄаЄ¤аЄѕ аЄ•аЄ№а«ЌаЄЇа«Ѓ  аЄ¤а«‡аЄ®аЄЈа«‡ аЄ¤а«ЌаЄ°а«ЂаЄња«ЃаЄ‚ аЄџа«ЌаЄ°аЄѕаЄЇаЄІ аЄњ аЄЁаЄҐа«Ђ аЄ•аЄ°а«ЌаЄЇа«ЃаЄ‚  #Coronavirus #Covid19 #World #International  #WHO    https://t.co/ihrafv5jZa,low,0,NA,NA,NA,0,0,gu,,NA,NA,"<a href=""http://www.khabarchhe.com"" rel=""nofollow"">Khabarchhe</a>","Gujarat, India",NA,NA,2835064274,Khabarchhe,0,Digital Presence of Gujarat. RT'S в‰  Endorsements,http://www.khabarchhe.com,http://pbs.twimg.com/profile_images/882956127666806784/OLIZDrEV_normal.jpg,NA,NA,NA,40059,2447,232,35,287,NA,2014-09-28 13:04:19
41021,41021,1257644531324989440,1588680796,2020-05-05 12:13:16,bedboundbabe,"RT @TODAYshow: ""It does seem like children are still protected from coronavirus, but that doesn't mean they're completely safe. WhвЂ¦ https://t.co/CtK8DIchKO",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",United States,NA,NA,4821851031,Not Spreading COVID Is Sexy,0,WriterвЂўAdvocateвЂўMEd вЂўgifferвЂўgigglerвЂўbed twerkerвЂўsexter http://cash.me/bedboundbabe,http://BedBoundBabe.com,http://pbs.twimg.com/profile_images/1124790294589923329/MHmEy5U-_normal.jpg,NA,NA,NA,73845,3040,305,73117,54,NA,2016-01-17 19:19:16
28622,28622,1246772837337137152,1586088782,2020-04-05 12:13:02,theosilaghi,RT @Conflits_FR: рџ‡«рџ‡· PandГ©mie de #coronavirus : premier cas de #COVID19 Г  Saint-Pierre-et-Miquelon. Il s'agit d'une personne qui avaiвЂ¦ https://t.co/qaZgeHDOrL,low,NA,NA,NA,NA,0,0,fr,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lyon, France",NA,NA,3438912789,Toslg,0,Les aigles ne volent pas avec les pigeons рџЏґвЂЌв� пёЏ,,http://pbs.twimg.com/profile_images/1246096891907125248/hFV7Vu_w_normal.jpg,NA,NA,NA,43558,282,579,77479,0,NA,2015-08-25 09:29:46
35262,35262,1257643317069832192,1588680507,2020-05-05 12:08:27,helenyg,"UK coronavirus death toll rises above 32,000 to highest in Europe https://t.co/UkGYPtAsEZ",low,0,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","London, United Kingdom",NA,NA,21707108,Heleny Campoy,0,"Environmentalist, Feminist, Internationalist, Writer, Painter, Photographer #ClimateEmergency #Equality #Art рџђџрџ‡Єрџ‡ёрџ‡Єрџ‡є",http://helenycampoy.com,http://pbs.twimg.com/profile_images/1190584556820336640/0x11aNXn_normal.jpg,NA,NA,NA,420205,19616,14342,151786,617,NA,2009-02-23 23:27:40
38917,38917,1257644092739256320,1588680692,2020-05-05 12:11:32,AM_i_Rostorp,"RT @NargisWalker: UK coronavirus death toll rises above 32,000 to highest in Europe. ONS figures show UK has overtaken Italy as worstвЂ¦ https://t.co/tmFWoDDuzG",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Sweden,NA,NA,134728184,A-M #FBPE #RejoinEU,0,"Geriatric indie kid, word regurgitator, culture whore, lover of the absurd. Spiritually guided by Pingu och Laibach. Intending to grow old disgracefully.",,http://pbs.twimg.com/profile_images/932169367072268289/UyweVHgh_normal.jpg,NA,NA,NA,37177,4294,4993,34598,1,NA,2010-04-19 08:14:06
57038,57038,1290984407109701632,1596629642,2020-08-05 12:14:02,northcoastblog,"RT @crampell: вЂњThirty-seven people in Chapel HillвЂ™s athletics department tested positive for the coronavirus last month, yet theвЂ¦ https://t.co/M35KBaP6wn",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cleveland,NA,NA,25726800,North Coast Blog,0,Blogger based in Ohio.,http://www.northcoastblog.com/,http://pbs.twimg.com/profile_images/1108522670/cleveland-skyline_normal.jpg,NA,NA,NA,67292,582,2682,3731,0,NA,2009-03-21 20:51:05
30470,30470,1246773196751331328,1586088868,2020-04-05 12:14:28,Spes2404,RT @Juana66359443: Rezar por mi hija pequeГ±a que estГЎ ingresada por #coronavirus por favor,low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NA,NA,1912294171,MartГ¬n,0,,,http://pbs.twimg.com/profile_images/1008093922034438144/OFOHSV42_normal.jpg,NA,NA,NA,69909,1819,4539,129655,1,NA,2013-09-27 20:51:54
3279,3279,1235537245148508160,1583410009,2020-03-05 12:06:49,libszzyy,If I ever got coronavirus IвЂ™m walking into all the banks and coughing on everyone,low,NA,NA,NA,NA,0,0,en,,NA,1235532784812294144,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",south london,NA,NA,1221154671412371456,Liban,0,,,http://pbs.twimg.com/profile_images/1229088500865273857/rfygjwlj_normal.jpg,NA,NA,NA,1351,390,392,1034,0,NA,2020-01-25 19:35:42
37595,37595,1257643817278353408,1588680626,2020-05-05 12:10:26,AnthonysSquires,RT @10DowningStreet: Wash your hands regularly for at least 20 seconds to stop the spread of #coronavirus.  #StaySafeSaveLives https://t.co/XmZls009dT,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Warrington Cheshire England UK,NA,NA,1855399650,Anthony Squires,0,"Liverpool Supporter Since 1979 Anti-Monarchy Free Gaza, Self Acclaimed King Of Bad Jokes, Proud To Be British рџЏґу Ѓ§у Ѓўу ЃҐу Ѓ®у Ѓ§у Ѓї Save Our NHS Age 49",,http://pbs.twimg.com/profile_images/1017918249076391936/p3RKbu-c_normal.jpg,NA,NA,NA,90919,5315,4749,51250,193,NA,2013-09-11 20:54:07
43478,43478,1268876619122425856,1591358735,2020-06-05 12:05:35,jkelley601,"RT @ValentineShow: So, Mayor Chicken Coop extends Phase 2 of the coronavirus reopening which limits crowds to 25, then stands idly byвЂ¦ https://t.co/gTTjj3hRrQ",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,NA,NA,70537862,Jason Kelley,0,,,http://pbs.twimg.com/profile_images/1248541432916217856/ika_pUpY_normal.jpg,NA,NA,NA,382,114,279,310,0,NA,2009-08-31 23:47:42
58080,58080,1313089143925354496,1601899822,2020-10-05 12:10:22,diamoundgirls1,RT @USA_Anne711: рџ’Ґрџ’ҐThe Michigan Ruler Responds to their SC Rulingрџ’Ґрџ’Ґрџ‘‡рџ‘‡рџ‘‡Michigan Governor Vows To Continue Coronavirus Measures DespitвЂ¦ https://t.co/X7irXxVuVo,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NA,NA,845460673060634624,Diamoundgirls,0,MAGA,http://stores.ebay.com/andy96961,http://pbs.twimg.com/profile_images/845467269983485953/0BzGzLTr_normal.jpg,NA,NA,NA,119285,3523,4567,13770,7,NA,2017-03-25 02:21:47
